X.1,X,collar_id,masterID,x_,y_,t_,temp_c,fate,sl_,speed,julian,week,avg.bc,NDVI,total_precipitation
1,X21819.1.1,21819.1,R02M,20.0863815,14.8929674,2017-01-21T06:00:37Z,22,mortality,1.59138304628454e-5,4.45640729847254e-9,21,3,5,1220,1.8626451e-9
2,X21819.1.2,21819.1,R02M,20.0863705,14.8929559,2017-01-21T07:00:08Z,22,mortality,1.24823875925399e-5,3.46732988681663e-9,21,3,5,1220,1.8626451e-9
3,X21819.1.3,21819.1,R02M,20.0863815,14.89295,2017-01-21T08:00:08Z,21,mortality,0,0,21,3,5,1220,1.8626451e-9
4,X21819.1.4,21819.1,R02M,20.0863815,14.89295,2017-01-21T09:00:39Z,21,mortality,3.98177096264086e-5,1.11534200634198e-8,21,3,5,1220,1.8626451e-9
5,X21819.1.5,21819.1,R02M,20.0863879,14.8929893,2017-01-21T10:00:09Z,20,mortality,3.50463978205821e-5,9.73511050571725e-9,21,3,5,1220,1.8626451e-9
6,X21819.1.6,21819.1,R02M,20.0864228,14.8929861,2017-01-21T11:00:09Z,19,mortality,0.00299984146414487,8.33520829159451e-7,21,3,5,1220,1.8626451e-9
7,X21819.1.7,21819.1,R02M,20.0854323,14.8901545,2017-01-21T12:00:08Z,19,mortality,0.00408542902153463,1.12515258097897e-6,21,3,5,1363,1.8626451e-9
8,X21819.1.8,21819.1,R02M,20.0843321,14.894089,2017-01-21T13:00:39Z,22,mortality,0.0093258293958239109,2.61227714168737e-6,21,3,5,1252,1.8626451e-9
9,X21819.1.9,21819.1,R02M,20.0817305,14.9030446,2017-01-21T14:00:09Z,30,mortality,0.0171766732765713,4.73056273108546e-6,21,3,5,1453,1.8626451e-9
10,X21819.1.10,21819.1,R02M,20.0986754,14.9058568,2017-01-21T15:00:40Z,31,mortality,0.0180996912818982,5.07278343102528e-6,21,3,5,1389,1.8626451e-9
11,X21819.1.11,21819.1,R02M,20.0985291,14.8877577,2017-01-21T16:00:08Z,37,mortality,0.0192646615316741,5.34832357903224e-6,21,3,5,1295,1.8626451e-9
12,X21819.1.12,21819.1,R02M,20.0815638,14.8786305,2017-01-21T17:00:10Z,40,mortality,0.013531297695344,3.72865739744944e-6,21,3,5,1252,1.8626451e-9
13,X21819.1.13,21819.1,R02M,20.0764934,14.8660851,2017-01-21T18:00:39Z,41,mortality,0.00946406659528639,2.65174183112535e-6,21,3,5,1293,4.2840838e-8
14,X21819.1.14,21819.1,R02M,20.067552,14.8629835,2017-01-21T19:00:08Z,39,mortality,7.89437989964617e-4,2.19288330545727e-7,21,3,5,1327,4.2840838e-8
15,X21819.1.15,21819.1,R02M,20.0673395,14.8637438,2017-01-21T20:00:08Z,41,mortality,0.00751123376350141,2.06864052974426e-6,21,3,5,1327,4.2840838e-8
16,X21819.1.16,21819.1,R02M,20.0601404,14.861601,2017-01-21T21:00:39Z,41,mortality,0.00671270191577442,1.88030865988079e-6,21,3,5,1291,4.2840838e-8
17,X21819.1.17,21819.1,R02M,20.0534689,14.8608584,2017-01-21T22:00:09Z,40,mortality,0.0159747074229833,4.43865168740854e-6,21,3,5,1214,4.2840838e-8
18,X21819.1.18,21819.1,R02M,20.0374942,14.8608738,2017-01-21T23:00:08Z,35,mortality,0.00874651675411577,2.43026306032669e-6,21,3,5,1237,4.2840838e-8
19,X21819.1.19,21819.1,R02M,20.029684,14.8648111,2017-01-22T00:00:07Z,29,mortality,0.00701875628085165,1.93247694957369e-6,21,3,5,1307,4.2840838e-8
20,X21819.1.20,21819.1,R02M,20.0311762,14.8716694,2017-01-22T01:00:39Z,25,mortality,0.0088603977811375,2.48259954641006e-6,21,3,5,1197,4.2840838e-8
21,X21819.1.21,21819.1,R02M,20.0382222,14.8770416,2017-01-22T02:00:08Z,25,mortality,0.016300372823343,4.52788133981749e-6,21,3,5,1209,4.2840838e-8
22,X21819.1.22,21819.1,R02M,20.0487385,14.8894959,2017-01-22T03:00:08Z,25,mortality,4.70761351429234e-4,1.29686322707778e-7,21,3,5,1439,4.2840838e-8
23,X21819.1.23,21819.1,R02M,20.048818,14.8899599,2017-01-22T04:00:38Z,23,mortality,0.00533372357082555,1.4944588318368e-6,21,3,5,1439,4.2840838e-8
24,X21819.1.24,21819.1,R02M,20.053471299999998,14.8925667,2017-01-22T05:00:07Z,23,mortality,0.00736475870684339,2.04463040167779e-6,21,3,5,NA,NA
25,X21819.1.25,21819.1,R02M,20.0604397,14.8949502,2017-01-22T06:00:09Z,24,mortality,0.0143086137920488,3.94176688486194e-6,22,4,4.5,1571,4.2840838e-8
26,X21819.1.26,21819.1,R02M,20.0744945,14.8922671,2017-01-22T07:00:39Z,23,mortality,0,0,22,4,4.5,1339,4.2840838e-8
27,X21819.1.27,21819.1,R02M,20.0744945,14.8922671,2017-01-22T08:00:08Z,21,mortality,7.71038261091892e-6,2.14177294747748e-9,22,4,4.5,1339,4.2840838e-8
28,X21819.1.28,21819.1,R02M,20.0745009,14.8922714,2017-01-22T09:00:08Z,20,mortality,0.00242298630825611,6.73051752293364e-7,22,4,4.5,1339,4.2840838e-8
29,X21819.1.29,21819.1,R02M,20.0764708,14.8908606,2017-01-22T10:00:08Z,21,mortality,0.00576233540589297,1.58698303659955e-6,22,4,4.5,1314,4.2840838e-8
30,X21819.1.30,21819.1,R02M,20.0822331,14.8908808,2017-01-22T11:00:39Z,21,mortality,0.00587501191913679,1.6456616019991e-6,22,4,4.5,1308,4.2840838e-8
31,X21819.1.31,21819.1,R02M,20.0846267,14.8855155,2017-01-22T12:00:09Z,19,mortality,0.00869988289863757,2.41328235745841e-6,22,4,4.5,1393,4.2840838e-8
32,X21819.1.32,21819.1,R02M,20.0843989,14.8942124,2017-01-22T13:00:14Z,22,mortality,6.21434228217695e-4,1.7147743604241e-7,22,4,4.5,1252,4.2840838e-8
33,X21819.1.33,21819.1,R02M,20.0849434,14.8939129,2017-01-22T14:00:38Z,29,mortality,8.09140735597323e-4,2.26650065993648e-7,22,4,4.5,1252,4.2840838e-8
34,X21819.1.34,21819.1,R02M,20.0841367,14.8938501,2017-01-22T15:00:08Z,35,mortality,8.15137399461662e-4,2.24432103376008e-7,22,4,4.5,1252,4.2840838e-8
35,X21819.1.35,21819.1,R02M,20.0844254,14.8930878,2017-01-22T16:00:40Z,35,mortality,0.00305504017976838,8.56473277198874e-7,22,4,4.5,1246,4.2840838e-8
36,X21819.1.36,21819.1,R02M,20.0826759,14.8905833,2017-01-22T17:00:07Z,37,mortality,0,0,22,4,4.5,1308,4.2840838e-8
37,X21819.1.37,21819.1,R02M,20.0826759,14.8905833,2017-01-22T18:00:39Z,37,mortality,5.31371809574107e-5,1.488019629163e-8,22,4,4.5,1308,0
38,X21819.1.38,21819.1,R02M,20.0826299,14.8906099,2017-01-22T19:00:10Z,38,mortality,4.44002252236575e-5,1.23333958954604e-8,22,4,4.5,1308,0
